,forecast_date,region_code,warehouse,timeframe,mafe_exp1,mafe_exp2,mafe_exp3,mafe_exp4,mafe_exp5,mafe_exp6,mafe_exp7,mafe_exp8
0,2022-08-17,CMX,CEDA,14,42.8959474503523,40.9951659984143,40.6549843436011,41.1461407765203,42.1168622663921,41.882571088322,41.449807384079,40.4089139117284
1,2022-08-08,CMX,CEDA,6,34.3533907251262,33.7025475745634,34.6412488199783,34.0215083989917,34.4025937238377,33.6880098749491,34.1045886270566,34.5121207208417
2,2022-08-06,CMX,CEDA,5,37.3394949435201,36.386627270195,36.3541858496698,36.3529039286151,37.0008741901266,36.2782575426888,36.2124143093218,36.412616426424
3,2022-08-03,CMX,CEDA,2,39.5012831811738,38.6388727020294,38.2556876671829,39.3061913077911,38.7332276234914,38.9379868681288,39.1597843177978,38.4335997316287
4,2022-08-31,CMX,CEDA,26,39.7912223999126,38.4619446646195,38.0047584365289,39.0123274649483,39.189470947846,39.6956353453983,39.2901414408317,37.7395723686402
5,2022-08-09,CMX,CEDA,7,45.7830379090784,44.0259988095974,44.0875622631302,43.5997651663732,45.5140811840131,43.983561394703,43.7311483782801,43.9786156185407
6,2022-08-12,CMX,CEDA,10,31.0350128047922,30.83627018107,30.5525191225195,30.4222724040685,30.1055135573393,30.8539262587436,30.5869203244715,30.3965368821377
7,2022-08-15,CMX,CEDA,12,29.190255647048,30.2423302382177,31.1012194168206,29.4935729300946,30.4663717631568,29.3372455413834,29.6398849067928,30.9602528639243
8,2022-08-05,CMX,CEDA,4,27.8300590884141,26.712858286128,26.7925167312863,27.037729146587,26.9874572978686,26.7291260400882,26.9046937938215,26.7994722587716
9,2022-08-24,CMX,CEDA,20,39.5040328281453,40.7969229799639,40.3363408237017,39.7948165360114,39.917448566306,39.7007799199407,39.6411389245981,40.3954475973221
10,2022-08-25,CMX,CEDA,21,46.2924846850609,45.5941347365946,45.9699559337548,45.0417065198301,45.9466167799938,45.8137377402514,45.1607010028068,45.8725968113193
11,2022-08-23,CMX,CEDA,19,43.0902155650585,42.4530899997181,43.457214614643,43.0187359562099,43.2499169332748,42.6123325970133,43.1596229506956,43.3163276201574
12,2022-08-26,CMX,CEDA,22,43.7087672101615,41.4718717253515,41.6059731910779,42.7178628724788,42.8225016910317,42.7252130115069,42.9270521535444,41.4077938721737
13,2022-08-20,CMX,CEDA,17,56.5297617619796,55.2178607580022,55.866880689985,54.3567213727318,56.3643994081249,54.4509611917172,54.5946164120914,55.644845319916
14,2022-08-02,CMX,CEDA,1,32.1019595330975,31.8622333899822,32.1159653218402,32.3266505097252,31.9509371588165,32.1933137541142,32.2242917318607,32.0529753046928
